Book ID,Title,Author,Genre,Publication Year,Available Copies
1,To Kill a Mockingbird,Harper Lee,Classic Fiction,1960,5
2,1984,George Orwell,Dystopian Fiction,1949,3
3,Pride and Prejudice,Jane Austen,Romance,1813,7
4,The Great Gatsby,F. Scott Fitzgerald,Literary Fiction,1925,4
5,One Hundred Years of Solitude,Gabriel Garcia Marquez,Magical Realism,1967,2
6,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,1979,6
7,Beloved,Toni Morrison,Historical Fiction,1987,3
8,The Alchemist,Paulo Coelho,Philosophical Fiction,1988,5
9,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,1997,9
10,The Da Vinci Code,Dan Brown,Mystery/Thriller,2003,4
11,The Kite Runner,Khaled Hosseini,Literary Fiction,2003,3
12,The Hunger Games,Suzanne Collins,Young Adult,2008,8
13,Gone Girl,Gillian Flynn,Psychological Thriller,2012,6
14,Educated,Tara Westover,Memoir,2018,4
15,The Diary of a Young Girl,Anne Frank,Autobiography,1947,2
16,Brave New World,Aldous Huxley,Dystopian Fiction,1932,3
17,The Hobbit,J.R.R. Tolkien,Fantasy,1937,5
18,Invisible Man,Ralph Ellison,Literary Fiction,1952,2
19,The Color Purple,Alice Walker,Literary Fiction,1982,4
20,Project Hail Mary,Andy Weir,Science Fiction,2021,7
